Item	Qty	Reference	Part Name
1	1	Q3	2SC2383
2	3	U1 U6 U10	AO3401A
3	1	U9	AT24C256C
4	2	Q1-2	BC817-16LT1
5	2	B1 L1	BEAD-0603(1608)
6	1	Z1	BUZZER
7	1	C13	"C-N-0603(1608),0.01uF"
8	16	C1-2 C4 C6-7 C9 C12 C15-16 C18-19 C22 C24-27	"C-N-0603(1608),0.1uF"
9	1	C23	"C-N-0603(1608),0.47uF"
10	1	C17	"C-N-0603(1608),1uF"
11	2	C20-21	"C-N-0603(1608),20pF"
12	1	C5	"C-N-0603(1608),470pF"
13	1	C8	"C-N-0805(2012),10uF"
14	3	C3 C11 C28	"C-P-0805(2012),10uF"
15	2	C10 C14	"C-P-0805(2012),47uF"
16	1	L2	"COIL,22uH"
17	1	L3	"COIL,48mH"
18	2	D5 D8	"D-1206(3216),S1M"
19	1	M1	FB153BC_S
20	1	M2	FGPMMOPA6C
21	1	U2	GY-86
22	6	D1-4 D6-7	LED
23	1	U8	LTC2950-1
24	1	U7	MAX1676
25	1	U5	MCP73831
26	4	X1-3 X5	MHOLE
27	1	U3	MIC5219-3.3BM5
28	1	J1	MOLEX-54048-08
29	1	J2	MOLEX-TFLASH-49225-0821
30	14	R4-6 R10 R14 R22 R31-32 R44 R46-47 R49-51	"R-0603(1608),0R"
31	1	R8	"R-0603(1608),1.5K"
32	3	R3 R21 R45	"R-0603(1608),100K"
33	17	R1 R7 R16-17 R27 R35 R37-43 R48 R53-54 R58	"R-0603(1608),10K"
34	1	R18	"R-0603(1608),15K"
35	6	R13 R52 R55-57 R59	"R-0603(1608),1K"
36	1	R24	"R-0603(1608),1M"
37	1	R28	"R-0603(1608),200R"
38	1	R19	"R-0603(1608),22K"
39	2	R11 R15	"R-0603(1608),22R"
40	1	R30	"R-0603(1608),240K"
41	1	R26	"R-0603(1608),270K"
42	1	R23	"R-0603(1608),2K"
43	1	R29	"R-0603(1608),330K"
44	1	R9	"R-0603(1608),33K"
45	2	R33 R36	"R-0603(1608),4.7K"
46	2	R2 R20	"R-0603(1608),470R"
47	1	R12	"R-0603(1608),47K"
48	1	R34	"R-0603(1608),5K"
49	1	R25	"R-0603(1608),NC"
50	2	J4-5	SIP_02
51	1	J6	SIP_04
52	1	U4	STM32F103C
53	3	SW1-3	SW-SPST-ITS-1164
54	1	J3	USB_TYPEB_MINI
55	1	X4	"XTAL-SMD,8MHz"
